Category,Discounted,SoldBy,Url,Title,CurrentPrice,Savings,OriginalPrice,SellerRating
,False,,https://uae.souq.com/ae-en/multi-color-burqini-for-women-10339457/i/,,,-132.00 ,,(76% Positive Rating)
,True,,https://uae.souq.com/ae-en/tommy-hilfiger-swim-shorts-for-men-multi-color-29907190/i/,,,10.00 ,229.00 ,
,False,,https://uae.souq.com/ae-en/white-tankinis-for-women-10428293/i/,,,-119.99 ,,(50% Positive Rating)
,False,,https://uae.souq.com/ae-en/multi-color-tankinis-for-women-10272208/i/,,,-39.99 ,,(87% Positive Rating)
,True,,https://uae.souq.com/ae-en/blue-bikini-set-for-women-25993977/i/,,,101.00 ,150.00 ,(38% Positive Rating)
,True,,https://uae.souq.com/ae-en/yellow-one-piece-monokini-for-women-9092473/i/,,,132.35 ,154.35 ,(84% Positive Rating)
,True,,https://uae.souq.com/ae-en/black-bikini-for-women-10330366/i/,,,44.51 ,94.50 ,(72% Positive Rating)
,False,,https://uae.souq.com/ae-en/multi-color-bikini-for-women-10274464/i/,,,-105.00 ,,
,False,,https://uae.souq.com/ae-en/blue-bodysuit-for-women-10532972/i/,,,-190.00 ,,(76% Positive Rating)
,False,,https://uae.souq.com/ae-en/red-nude-back-temptation-swimsuit-bikini-32516647/i/,,,-69.00 ,,(No ratings yet)
,False,,https://uae.souq.com/ae-en/multi-color-one-piece-monokini-for-women-10330234/i/,,,-41.59 ,,(72% Positive Rating)
,True,,https://uae.souq.com/ae-en/blue-bikini-for-women-7631091/i/,,,124.36 ,154.35 ,
,False,,https://uae.souq.com/ae-en/black-one-piece-monokini-for-women-10352706/i/,,,-49.00 ,,(72% Positive Rating)
,False,,https://uae.souq.com/ae-en/black-one-piece-monokini-for-women-8660312/i/,,,-89.00 ,,(38% Positive Rating)
,False,,https://uae.souq.com/ae-en/pink-swim-dress-for-girls-11625023/i/,,,-93.00 ,,
,False,,https://uae.souq.com/ae-en/multi-color-burqini-for-women-9768688/i/,,,-124.00 ,,(76% Positive Rating)
,False,,https://uae.souq.com/ae-en/sea-blue-burqini-for-women-22658188/i/,,,-140.00 ,,(78% Positive Rating)
,False,,https://uae.souq.com/ae-en/black-tankinis-for-women-10352659/i/,,,-29.00 ,,
,False,,https://uae.souq.com/ae-en/blue-burqini-for-women-10339455/i/,,,-129.00 ,,(76% Positive Rating)
,False,,https://uae.souq.com/ae-en/multi-color-one-piece-monokini-for-women-11529096/i/,,,-50.00 ,,(38% Positive Rating)
,False,,https://uae.souq.com/ae-en/black-bikini-for-girls-10352151/i/,,,-88.00 ,,(76% Positive Rating)
,False,,https://uae.souq.com/ae-en/multi-color-bikini-for-women-10319849/i/,,,-84.00 ,,(71% Positive Rating)
,False,,https://uae.souq.com/ae-en/blue-polyester-layered-skirt-for-women-11765755/i/,,,-120.00 ,,(38% Positive Rating)
,False,,https://uae.souq.com/ae-en/multi-color-bikini-for-women-10681308/i/,,,-48.00 ,,(87% Positive Rating)
,False,,https://uae.souq.com/ae-en/multi-color-bodysuit-for-women-10684824/i/,,,-30.00 ,,
,False,,https://uae.souq.com/ae-en/red-one-piece-monokini-for-women-9092506/i/,,,-39.80 ,,(81% Positive Rating)
,True,,https://uae.souq.com/ae-en/vero-moda-a-line-skirt-for-women-black-23141105/i/,,,14.00 ,73.00 ,
,False,,https://uae.souq.com/ae-en/yours-london-body-con-skirt-for-women-22526182/i/,,,-79.00 ,,
,False,,https://uae.souq.com/ae-en/pleated-skirt-for-girls-28097559/i/,,,-45.00 ,,(71% Positive Rating)
,True,,https://uae.souq.com/ae-en/calvin-klein-a-line-skirt-for-women-denim-22606013/i/,,,210.00 ,309.00 ,
,True,,https://uae.souq.com/ae-en/brave-soul-a-line-skirt-for-women-black-26937377/i/,,,47.00 ,89.00 ,
,False,,https://uae.souq.com/ae-en/purple-a-line-skirt-for-women-22185875/i/,,,-149.00 ,,
,False,,https://uae.souq.com/ae-en/standard-mid-calf-skirt-for-women-white-32385117/i/,,,-9.99 ,,(No ratings yet)
,False,,https://uae.souq.com/ae-en/red-linen-layered-skirt-for-girls-11749851/i/,,,-89.00 ,,(71% Positive Rating)
,False,,https://uae.souq.com/ae-en/multi-color-mixed-layered-skirt-for-girls-11749831/i/,,,-65.00 ,,(77% Positive Rating)
,True,,https://uae.souq.com/ae-en/only-short-skirts-for-women-black-12012441/i/,,,109.00 ,168.00 ,
,True,,https://uae.souq.com/ae-en/tally-weijl-pink-suede-houndstooth-skirt-for-women-30629480/i/,,,30.00 ,99.00 ,
